ts,loss,acc,val_loss,val_acc
1571330143,0.250038474798,0.47,0.244435310364,0.57
1571330143,0.260908484459,0.46,0.249500274658,0.52
1571330143,0.253305017948,0.43,0.250211745501,0.41
1571330143,0.250248849392,0.46,0.250606149435,0.45
1571330144,0.249125272036,0.59,0.250197142363,0.51
1571330144,0.250853866339,0.49,0.250378131866,0.49
1571330144,0.249356374145,0.53,0.250820964575,0.48
1571330144,0.250110417604,0.51,0.251999348402,0.44
1571330144,0.249704495072,0.51,0.249841868877,0.5
1571330144,0.251052320004,0.46,0.249622404575,0.52
1571330144,0.250766843557,0.42,0.249736279249,0.55
1571330145,0.250188499689,0.44,0.250774502754,0.47
1571330145,0.249553084373,0.5,0.249243810773,0.54
1571330145,0.246591329575,0.67,0.251587063074,0.47
1571330145,0.248555883765,0.53,0.247065976262,0.55
1571330145,0.252024412155,0.48,0.249632820487,0.51
1571330145,0.250154614449,0.49,0.237143799663,0.67
1571330146,0.246031820774,0.55,0.250889033079,0.5
1571330146,0.245398506522,0.57,0.252472519875,0.51
1571330146,0.247899457812,0.54,0.242413893342,0.59
1571330146,0.250317722559,0.52,0.248860225081,0.52
1571330146,0.258091390133,0.43,0.251580715179,0.49
1571330146,0.250616818666,0.49,0.245364293456,0.61
1571330146,0.248768359423,0.54,0.24916768074,0.54
1571330147,0.250953435898,0.44,0.249840185046,0.5
1571330147,0.247897610068,0.59,0.248064666986,0.58
1571330147,0.251187294722,0.44,0.250681638718,0.47
1571330147,0.247139260173,0.56,0.25175729394,0.47
1571330147,0.251343458891,0.47,0.25521877408,0.43
1571330147,0.243727743626,0.62,0.246916040778,0.58
1571330147,0.251383990049,0.48,0.249559506774,0.49
1571330148,0.252021789551,0.48,0.249863862991,0.5
1571330148,0.252855151892,0.47,0.249515250325,0.51
1571330148,0.246491253376,0.55,0.249328866601,0.53
1571330148,0.245813891292,0.56,0.250487864017,0.51
1571330148,0.249617874622,0.47,0.251451402903,0.47
1571330148,0.247884228826,0.51,0.252742260695,0.37
1571330148,0.252121388912,0.42,0.252464950085,0.42
1571330149,0.245092570782,0.56,0.251864403486,0.48
1571330149,0.244715467095,0.56,0.244799017906,0.56
1571330149,0.251435309649,0.48,0.252653807402,0.59
1571330149,0.241665571928,0.6,0.249792709947,0.55
1571330149,0.24920617044,0.49,0.250233381987,0.49
1571330149,0.246711611748,0.54,0.237617120147,0.6
1571330149,0.246076717973,0.53,0.2510407269,0.56
1571330150,0.238814070821,0.6,0.249114155769,0.55
1571330150,0.252188265324,0.46,0.237295538187,0.61
1571330150,0.248566746712,0.48,0.236314296722,0.62
1571330150,0.24124802649,0.59,0.254596531391,0.49
1571330150,0.242396995425,0.57,0.250064253807,0.49
1571330150,0.256518572569,0.46,0.248257368803,0.5
1571330151,0.250702053308,0.53,0.239857271314,0.56
1571330151,0.23595456779,0.63,0.243681311607,0.59
1571330151,0.23646312952,0.57,0.256618946791,0.54
1571330151,0.239344745874,0.52,0.250774234533,0.56
1571330151,0.23984208703,0.63,0.244907483459,0.57
1571330151,0.245182216167,0.6,0.257488876581,0.54
1571330151,0.250679165125,0.57,0.243656128645,0.58
1571330152,0.239730194211,0.53,0.252278268337,0.59
1571330152,0.252232581377,0.52,0.255642026663,0.48
1571330152,0.253523170948,0.54,0.250618696213,0.61
1571330152,0.243572816253,0.64,0.244940578938,0.54
1571330152,0.242386639118,0.57,0.241946622729,0.55
1571330152,0.245554342866,0.53,0.247078642249,0.52
1571330153,0.249572843313,0.49,0.244143337011,0.56
1571330153,0.249952822924,0.49,0.248380497098,0.54
1571330154,0.245161950588,0.56,0.247133225203,0.54
